繁體	简体	拼音	備注
彿	佛	fe1	彷～
得	得	te2	
德	德	te2	
特	特	de2	
肋	肋	le2	
勒	勒	le2	
責	责	tse1	
窄	窄	tse1	
摘	摘	tse1	
則	则	tse1	
側	侧	tse1	
廁	厕	tse1	〜所
測	测	tshe1	
策	策	tshe1	
冊	册	tshe1	
㿭	㿭	tshe1	
拆	拆	tshe1	〜開
澀	涩	se1	
蝨	虱	se1	
虱	虱	se1	
瑟	瑟	se1	
寒	寒	se1	
色	色	se1	
嗇	啬	se1	吝〜
賊	贼	ze2	
澤	泽	ze2	
擇	择	ze2	選〜
宅	宅	ze2	
隔	隔	ke1	
格	格	ke1	
革	革	ke1	
胳	胳	ke1	〜臂
克	克	khe1	
客	客	khe1	
咳	咳	khe1	～嗽
刻	刻	khe1	雕〜；時～
扼	扼	nge1	
軛	轭	nge1	
額	额	nge2	
黑	黑	he1	
赫	赫	he1	
嚇	吓	he1	恐〜；～一跳
恆	恒	ghe2	
覈	核	ghe2	審～
核	核	ghe2	果子〜
兒	儿	e2	
而	而	e2	
爾	尔	e3	
耳	耳	e3	
餌	饵	e3	
八	八	pa1	
巴	巴	pa1	
症	症	pa1	
色	色	pa1	
爸	爸	pa1	
杷	杷	pa1	枇～
琶	琶	pa1	琵～
把	把	pa3	～握；～守；一～
霸	霸	pa5	
把	把	pa5	～柄
壩	坝	pa5	堤～
怕	怕	pha5	
帕	帕	pha5	
乏	乏	ba2	
拔	拔	ba2	
罰	罚	ba2	
襪	袜	ba2	
伐	伐	ba2	
筏	筏	ba2	
爬	爬	ba2	
鈀	钯	ba2	〜子
耙	耙	ba2	犁～；～地
劃	划	ba2	〜船
罷	罢	ba6	
麻	麻	ma2	
麻	麻	ma2	
抹	抹	ma2	〜布
馬	马	ma3	
碼	码	ma3	～子
媽	妈	ma6	
罵	骂	ma6	
泛	泛	fa5	
答	答	ta1	
搭	搭	ta1	
打	打	ta3	
他	他	tha1	
塌	塌	tha1	
榻	榻	tha1	
搨	搨	tha1	〜本
踏	踏	tha1	
獺	獭	tha1	水〜
溻	溻	tha1	汗～溼了
達	达	da2	
大	大	da6	～小；〜夫；～黃，藥名
拿	拿	na2	
納	纳	na2	
哪	哪	na3	～個？
那	那	na6	
拉	拉	la1	
捺	捺	la1	撇〜
蠟	蜡	la6	
臘	腊	la6	
辣	辣	la6	
瘌	瘌	la6	
鑞	镴	la6	錫〜
渣	渣	tsa1	
閘	闸	tsa1	
軋	轧	tsa1	
扎	扎	tsa1	用針〜
鍘	铡	tsa1	〜刀
扎	扎	tsa3	
眨	眨	tsa3	〜眼
乍	乍	tsa5	
詐	诈	tsa5	
榨	榨	tsa5	～油
炸	炸	tsa5	〜彈
柞	柞	tsa5	〜橡樹
插	插	tsha1	
察	察	tsha1	
擦	擦	tsha1	
差	差	tsha1	
參	参	tsha1	〜；〜別；〜不多
叉	叉	tsha5	
杈	杈	tsha5	枝〜
岔	岔	tsha5	三～路
沙	沙	sa1	
紗	纱	sa1	
杉	杉	sa1	
殺	杀	sa1	
薩	萨	sa1	
柵	栅	sa1	〜欄
莎	莎	sa1	〜草
傻	傻	sa3	
撒	撒	sa3	～手；〜種
炸	炸	za1	用油～
煠	炸	za1	用油～
雜	杂	za2	
茶	茶	za2	
查	查	za2	調〜；山〜
茬	茬	za2	麥〜；～搭
搽	搽	za6	
裌	裌	ka1	〜衣
恰	恰	kha1	
掐	掐	kha1	
波	波	po1	
菠	菠	po1	〜菜
玻	玻	po1	〜璃
潑	泼	po1	
鉢	钵	po1	
撥	拨	po1	
鈸	钹	po1	
博	博	po1	
駁	驳	po1	
剝	剥	po1	
跛	跛	po3	～足
簸	簸	po5	～一～；～箕
坡	坡	pho1	
泊	泊	pho1	梁山～
頗	颇	pho5	
破	破	pho5	
泊	泊	bo2	停～
縛	缚	bo2	
婆	婆	bo2	
薄	薄	bo2	～荷；單～
魔	魔	mo1	
摩	摩	mo1	
莫	莫	mo2	
摸	摸	mo2	
寞	寞	mo2	
膜	膜	mo2	
饃	馍	mo2	
蟆	蟆	mo2	蛤～
模	模	mo2	～範；〜子
磨	磨	mo2	〜刀
摹	摹	mo3	〜仿
磨	磨	mo6	〜面，石〜
多	多	to1	
朵	朵	to3	
躲	躲	to3	
垛	垛	to3	柴～
剁	剁	to5	
拖	拖	tho1	
脫	脱	tho1	
託	托	tho1	囑～
托	托	tho1	用手～起
妥	妥	tho3	
唾	唾	tho3	～液；～沫
橢	椭	tho3	〜圓
駝	驼	do1	
奪	夺	do1	
鐸	铎	do1	
馱	驮	do1	～起來；〜子
舵	舵	do2	
惰	惰	do2	
挪	挪	no2	
諾	诺	no2	
糯	糯	no6	～米
羅	罗	lo2	姓
囉	罗	lo2	〜唆
鑼	锣	lo2	
籮	箩	lo2	
螺	螺	lo2	
瘰	瘰	lo2	
騾	骡	lo2	
路	路	lo2	
烙	烙	lo2	
酪	酪	lo2	
絡	络	lo2	
洛	洛	lo2	
落	落	lo2	
樂	乐	lo2	快～
裹	裹	lo3	
卵	卵	lo3	
裸	裸	lo3	〜體
琢	琢	tso1	
琢	琢	tso1	
涿	涿	tso1	〜縣
卓	卓	tso1	
桌	桌	tso1	
綽	绰	tso1	寬〜
捉	捉	tso1	
作	作	tso1	～坊；工～
左	左	tso3	
佐	佐	tso3	
做	做	tso5	
搓	搓	tsho1	
戳	戳	tsho1	
撮	撮	tsho1	
錯	错	tsho5	～誤；～雜
銼	锉	tsho5	
莝	莝	tsho5	～草
朔	朔	so1	
蓑	蓑	so1	
索	索	so1	繩〜
唆	唆	so1	
梭	梭	so1	織布～
率	率	so1	～領
蟀	蟀	so1	
所	所	so3	
鎖	锁	so3	
瑣	琐	so3	〜碎
昨	昨	zo2	
鑿	凿	zo2	
濁	浊	zo2	
鐲	镯	zo2	〜子
坐	坐	zo6	
座	座	zo6	
矬	矬	zo6	
歌	歌	ko1	
鍋	锅	ko1	
戈	戈	ko1	
割	割	ko1	
葛	葛	ko1	
各	各	ko1	
閣	阁	ko1	
擱	搁	ko1	
郭	郭	ko1	
廓	廓	ko1	
合	合	ko1	十〜一升
蛤	蛤	ko1	～蜊
鴿	鸽	ko1	
虢	虢	ko1	虞～
果	果	ko3	
餜	馃	ko3	
過	过	ko5	
個	个	ko5	～人，一～
科	科	kho1	
殼	壳	kho1	
礙	礙	kho1	
渴	渴	kho1	
闊	阔	kho1	
郝	郝	kho1	
姓	姓	kho1	
擴	扩	kho1	～充
可	可	kho3	
顆	颗	kho3	一～珠
課	课	kho5	
鵝	鹅	ngo2	
蛾	蛾	ngo2	
俄	俄	ngo2	
訛	讹	ngo2	
鄂	鄂	ngo2	
我	我	ngo3	
餓	饿	ngo6	
臥	卧	ngo6	
窠	窠	ho1	
棵	棵	ho1	
喝	喝	ho1	～酒；吆〜
蠚	蠚	ho1	蜂〜人
霍	霍	ho1	
藿	藿	ho1	〜香
鶴	鹤	ho1	
火	火	ho3	
夥	伙	ho3	
貨	货	ho5	
禾	禾	gho2	
和	和	gho2	〜氣
何	何	gho2	
河	河	gho2	
荷	荷	gho2	～花；薄～；負～；～槍
合	合	gho2	
盒	盒	gho2	煙〜
和	和	gho6	～面
禍	祸	gho6	
賀	贺	gho6	
杯	杯	pei1	
卑	卑	pei1	
碑	碑	pei1	
貝	贝	pei2	
輩	辈	pei2	
背	背	pei2	〜上；～誦
胚	胚	phei1	〜胎
坯	坯	phei1	土〜
配	配	phei5	
佩	佩	phei5	
轡	辔	phei5	
陪	陪	bei2	
賠	赔	bei2	
培	培	bei2	
裴	裴	bei2	
倍	倍	bei6	
焙	焙	bei6	～乾
鐾	鐾	bei6	〜刀布
梅	梅	mei2	
黴	霉	mei2	
煤	煤	mei2	
媒	媒	mei2	
枚	枚	mei2	
每	每	mei3	
美	美	mei3	
昧	昧	mei6	
妹	妹	mei6	
寐	寐	mei6	
痱	痱	fei1	〜子
妃	妃	fei5	
毀	毁	fei5	
麾	麾	fei5	
腿	腿	thei3	
褪	褪	thei5	把袖套〜下來
雷	雷	lei2	
屢	屡	lei3	
壘	垒	lei3	
儡	儡	lei3	傀〜
累	累	lei3	連〜
纍	累	lei3	連〜
內	内	lei6	
類	类	lei6	
淚	泪	lei6	
累	累	lei6	極睏
芮	芮	lei6	姓
擺	摆	pai3	
拜	拜	pai5	
派	派	phai5	
牌	牌	bai2	
排	排	bai2	〜隊
敗	败	bai6	
稗	稗	bai6	
埋	埋	mai2	
買	买	mai3	
賣	卖	mai6	
邁	迈	mai6	
呆	呆	tai1	
戴	戴	tai5	
帶	带	tai5	
台	台	thai1	天～；～州
胎	胎	thai1	
太	太	thai5	
態	态	thai5	
泰	泰	thai5	
臺	台	dai2	平〜
擡	抬	dai2	
苔	苔	dai2	青〜；舌〜
怠	怠	dai6	
殆	殆	dai6	
代	代	dai6	
貸	贷	dai6	
袋	袋	dai6	
待	待	dai6	
乃	乃	nai1	
奶	奶	nai1	
耐	耐	nai6	
奈	奈	nai6	
礙	碍	nai6	
來	来	lai2	
賴	赖	lai6	
癩	癞	lai6	
災	灾	tsai1	
齋	斋	tsai1	
栽	栽	tsai1	
宰	宰	tsai3	
再	再	tsai5	
債	债	tsai5	
載	载	tsai5	～重；三年兩〜；滿〜
猜	猜	tshai1	
釵	钗	tshai1	
差	差	tshai1	出〜
採	采	tshai3	
睬	睬	tshai3	
彩	彩	tshai3	
蔡	蔡	tshai5	
菜	菜	tshai5	
腮	腮	sai1	
鰓	鳃	sai1	
篩	筛	sai1	〜子
賽	赛	sai5	
曬	晒	sai5	
裁	裁	zai2	
柴	柴	zai2	
材	材	zai2	
財	财	zai2	
犲	犲	zai2	
纔	才	zai2	剛〜
才	才	zai2	～能
在	在	zai6	
寨	寨	zai6	
該	该	kai1	
街	街	kai1	
皆	皆	kai1	
階	阶	kai1	
秸	秸	kai1	麥〜
改	改	kai3	
解	解	kai3	講～；〜開
屆	届	kai5	
戒	戒	kai5	
蓋	盖	kai5	
界	界	kai5	
介	介	kai5	
疥	疥	kai5	
芥	芥	kai5	
尬	尬	kai5	尷～
丐	丐	kai5	乞～
械	械	kai6	
開	开	khai1	
楷	楷	khai3	
凱	凯	khai3	
溉	溉	khai5	
概	概	khai5	
揩	揩	khai5	
慨	慨	khai5	感～；慷〜
哀	哀	ngai1	
挨	挨	ngai1	
呆	呆	ngai2	
碨	碨	ngai2	磨，研
矮	矮	ngai3	
藹	蔼	ngai3	和～
隘	隘	ngai6	
愛	爱	ngai6	
艾	艾	ngai6	
海	海	hai3	
蟹	蟹	hai3	
駭	骇	hai3	驚～
懈	懈	hai6	
鞋	鞋	ghai2	
諧	谐	ghai2	
孩	孩	ghai2	
還	还	ghai2	～有
害	害	ghai6	
亥	亥	ghai6	
二	二	ai6	
貳	贰	ai6	～心
包	包	pao1	
胞	胞	pao1	
鮑	鲍	pao1	姓；〜魚
狍	狍	pao1	～子
飽	饱	pao3	
寶	宝	pao3	
保	保	pao3	
堡	堡	pao3	
褒	褒	pao3	〜獎
報	报	pao5	
豹	豹	pao5	
拋	抛	phao1	
泡	泡	phao1	
跑	跑	phao3	
爆	爆	phao5	
雹	雹	phao5	
炮	炮	phao5	槍〜
泡	泡	phao5	浸〜
袍	袍	bao2	
暴	暴	bao6	
抱	抱	bao6	
鉋	鉋	bao6	
刨	刨	bao6	～地
菢	菢	bao6	～小雞
貓	猫	mao1	
茅	茅	mao2	
錨	锚	mao2	
毛	毛	mao2	
矛	矛	mao2	
卯	卯	mao3	
貌	貌	mao6	
冒	冒	mao6	
帽	帽	mao6	
刀	刀	tao1	
島	岛	tao3	
禱	祷	tao3	
倒	倒	tao3	〜水；打〜
到	到	tao5	
滔	滔	thao1	
叨	叨	thao1	嘮～
討	讨	thao3	
套	套	thao5	
濤	涛	dao2	
萄	萄	dao2	
陶	陶	dao2	
淘	淘	dao2	～米
掏	掏	dao2	～出來
逃	逃	dao2	
桃	桃	dao2	
導	导	dao6	
盜	盗	dao6	
稻	稻	dao6	
道	道	dao6	
撓	挠	nao2	
鐃	铙	nao2	
腦	脑	nao3	
惱	恼	nao3	
鬧	闹	nao6	
牢	牢	lao2	
勞	劳	lao2	
撈	捞	lao2	
嘮	唠	lao2	
澇	涝	lao2	旱〜
老	老	lao3	
糟	糟	tsao1	
遭	遭	tsao1	
找	找	tsao3	
棗	枣	tsao3	
早	早	tsao3	
澡	澡	tsao3	
蚤	蚤	tsao3	
沼	沼	tsao3	〜氣
爪	爪	tsao3	〜牙
笊	笊	tsao3	～籬
罩	罩	tsao5	
竈	灶	tsao5	
超	超	tshao1	
操	操	tshao1	〜作；～演
抄	抄	tshao1	〜寫
鈔	钞	tshao1	錢〜
草	草	tshao3	
炒	炒	tshao3	
吵	吵	tshao3	
躁	躁	tshao5	
造	造	tshao5	建～
糙	糙	tshao5	～米
騷	骚	sao1	
臊	臊	sao1	〜氣
捎	捎	sao1	～帶
鞘	鞘	sao1	刀～
梢	梢	sao1	樹～
嫂	嫂	sao3	
稍	稍	sao3	
掃	扫	sao3	～地
掃	扫	sao5	～帚
潲	潲	sao5	豬～
巢	巢	zao2	
曹	曹	zao2	
槽	槽	zao2	
皁	皂	zao6	
羔	羔	kao1	
糕	糕	kao1	
高	高	kao1	
膏	膏	kao1	
篙	篙	kao1	進船竿
稿	稿	kao3	
搞	搞	kao3	
犒	犒	kao3	
告	告	kao5	
窖	窖	kao5	
覺	觉	kao5	睡～
敲	敲	khao1	
考	考	khao3	
烤	烤	khao3	
靠	靠	khao5	
熬	熬	ngao2	
咬	咬	ngao3	
襖	袄	ngao6	
傲	傲	ngao6	
奧	奥	ngao6	
坳	坳	ngao6	
懊	懊	ngao6	～悔；〜惱
蒿	蒿	hao1	蓬～
薅	薅	hao1	除田草
好	好	hao3	～壞
孝	孝	hao5	
耗	耗	hao5	
好	好	hao5	喜～
毫	毫	ghao2	
豪	豪	ghao2	
壕	壕	ghao2	
號	号	ghao2	呼～
浩	浩	ghao6	
號	号	ghao6	～數
剖	剖	phou3	
浮	浮	bou2	
謀	谋	mou2	
牡	牡	mou3	
畝	亩	mou3	
某	某	mou3	
茂	茂	mou6	
貿	贸	mou6	
否	否	fou3	
斗	斗	tou3	
抖	抖	tou3	
陡	陡	tou3	
鬥	斗	tou5	〜爭
偷	偷	thou1	
透	透	thou5	
投	投	dou2	
頭	头	dou2	
逗	逗	dou6	
豆	豆	dou6	
樓	楼	lou2	
縷	缕	lou3	絲〜
簍	篓	lou3	
摟	搂	lou3	抱；〜取
耬	耧	lou3	
陋	陋	lou6	
漏	漏	lou6	
鄒	邹	tsou1	
走	走	tsou3	
奏	奏	tsou5	
縐	绉	tsou5	
皺	皱	tsou5	
湊	凑	tshou5	
收	收	sou1	
搜	搜	sou1	
颼	飕	sou1	
饋	馈	sou1	
叟	叟	sou3	
首	首	sou3	
守	守	sou3	
手	手	sou3	
獸	兽	sou5	
瘦	瘦	sou5	
嗽	嗽	sou5	咳〜
愁	愁	zou1	
驟	骤	zou6	
勾	勾	kou1	
鉤	钩	kou1	
溝	沟	kou1	
苟	苟	kou3	
狗	狗	kou3	
構	构	kou5	
購	购	kou5	
夠	够	kou5	
摳	抠	khou1	
瞘	眍	khou1	眼～
口	口	khou3	
寇	寇	khou5	
扣	扣	khou5	～住
叩	叩	khou5	〜頭
歐	欧	ngou1	
甌	瓯	ngou1	
毆	殴	ngou1	
藕	藕	ngou3	
偶	偶	ngou3	配〜
偶	偶	ngou3	～然
嘔	呕	ngou3	～吐
漚	沤	ngou5	久浸水中
慪	怄	ngou5	～氣
吼	吼	hou3	
負	负	hou6	
阜	阜	hou6	
婦	妇	hou6	
喉	喉	ghou2	
猴	猴	ghou2	
侯	侯	ghou2	
厚	厚	ghou6	
候	候	ghou6	
后	后	ghou6	皇～
後	后	ghou6	～來
班	班	pang1	
斑	斑	pang1	
頒	颁	pang1	
般	般	pang1	
搬	搬	pang1	
邦	邦	pang1	
幫	帮	pang1	
扳	扳	pang1	～手
浜	浜	pang1	一條〜
板	板	pang3	
版	版	pang3	
榜	榜	pang3	
鎊	镑	pang3	
綁	绑	pang3	
扮	扮	pang5	
半	半	pang5	
絆	绊	pang5	
攀	攀	phang1	
潘	潘	phang1	
盼	盼	phang5	
判	判	phang5	
叛	叛	phang5	
胖	胖	phang5	
拚	拚	phang5	〜命
襻	襻	phang5	紐～
凡	凡	bang2	
帆	帆	bang2	
盤	盘	bang2	
繁	繁	bang2	
磯	矶	bang2	
煩	烦	bang2	
龐	庞	bang2	
亡	亡	bang2	
忘	忘	bang2	
房	房	bang2	
防	防	bang2	
旁	旁	bang2	
螃	螃	bang2	
傍	傍	bang2	
滂	滂	bang2	〜沱
犯	犯	bang6	
範	范	bang6	
辦	办	bang6	
瓣	瓣	bang6	
拌	拌	bang6	
伴	伴	bang6	
蚌	蚌	bang6	
望	望	bang6	
棒	棒	bang6	
蠻	蛮	mang2	
瞞	瞒	mang2	
茫	茫	mang2	
芒	芒	mang2	
忙	忙	mang2	
盲	盲	mang2	
虻	虻	mang2	牛〜
滿	满	mang3	
莽	莽	mang3	
蟒	蟒	mang3	
妄	妄	mang6	
慢	慢	mang6	
幔	幔	mang6	
漫	漫	mang6	
饅	馒	mang6	〜頭
蔓	蔓	mang6	瓜～子
番	番	fang1	
翻	翻	fang1	
藩	藩	fang1	
販	贩	fang6	
耽	耽	tang1	
單	单	tang1	
姓	姓	tang1	
當	当	tang1	〜時，應～
單	单	tang1	〜獨
丹	丹	tang1	
坍	坍	tang1	～下來
膽	胆	tang3	
誕	诞	tang3	
黨	党	tang3	
撣	掸	tang3	雞毛～子
擋	挡	tang3	阻～
宕	宕	tang3	延～
擔	担	tang5	
挑	挑	tang5	
任	任	tang5	
但	但	tang5	
旦	旦	tang5	
當	当	tang5	～作；典～
貪	贪	thang1	
灘	滩	thang1	
攤	摊	thang1	
湯	汤	thang1	
毯	毯	thang3	
坦	坦	thang3	
躺	躺	thang3	
趟	趟	thang3	一〜
倘	倘	thang3	～使
炭	炭	thang5	
嘆	叹	thang5	
燙	烫	thang5	
探	探	thang5	試～；偵～
痰	痰	dang1	
談	谈	dang1	
潭	潭	dang1	
譚	谭	dang1	
檀	檀	dang1	
彈	弹	dang1	〜琴
壇	坛	dang1	
棠	棠	dang1	
堂	堂	dang1	
螳	螳	dang1	〜螂
唐	唐	dang1	
塘	塘	dang1	
糖	糖	dang1	
淡	淡	dang5	
蛋	蛋	dang5	
彈	弹	dang5	子〜
蕩	荡	dang5	放〜
囊	囊	nang1	
男	男	nang2	
南	南	nang2	
難	难	nang2	～易
難	难	nang6	患〜
籃	篮	lang1	
藍	蓝	lang1	
蘭	兰	lang1	
欄	栏	lang1	
攔	拦	lang1	
蜋	蜋	lang1	
狼	狼	lang1	
郎	郎	lang1	
廊	廊	lang1	
覽	览	lang3	
攬	揽	lang3	
欖	榄	lang3	橄〜
懶	懒	lang3	
朗	朗	lang3	
纜	缆	lang6	
濫	滥	lang6	
爛	烂	lang6	
浪	浪	lang6	
簪	簪	tsang1	
贓	赃	tsang1	
髒	脏	tsang1	不乾淨
斬	斩	tsang3	
蓋	盖	tsang3	
攢	攒	tsang3	積～
贊	赞	tsang5	
灒	灒	tsang5	濺
葬	葬	tsang5	
綻	绽	tsang5	破～
站	站	tsang5	～立
蘸	蘸	tsang5	～醬油
摻	掺	tshang1	
參	参	tshang1	〜加；～差
岑	岑	tshang1	
餐	餐	tshang1	
倉	仓	tshang1	
蒼	苍	tshang1	
鏟	铲	tshang3	
慘	惨	tshang5	
燦	灿	tshang5	
三	三	sang1	
衫	衫	sang1	
珊	珊	sang1	
刪	删	sang1	
山	山	sang1	
桑	桑	sang1	
傘	伞	sang1	
產	产	sang1	
嗓	嗓	sang1	
散	散	sang1	分～
喪	丧	sang5	～失；～事
讒	谗	zang2	
饞	馋	zang2	
慚	惭	zang2	
蠶	蚕	zang2	
殘	残	zang2	
藏	藏	zang2	西～；隱〜
站	站	zang6	車〜
棧	栈	zang6	
髒	脏	zang6	心〜
暫	暂	zang6	
鏨	錾	zang6	〜花
甘	甘	kang1	
柑	柑	kang1	
泔	泔	kang1	～水
乾	干	kang1	～溼
艱	艰	kang1	
奸	奸	kang1	
姦	奸	kang1	
肝	肝	kang1	
竿	竿	kang1	竹〜
間	间	kang1	空〜；中〜
岡	冈	kang1	
鋼	钢	kang1	〜材
崗	岗	kang1	
剛	刚	kang1	
缸	缸	kang1	
敢	敢	kang3	
橄	橄	kang3	〜欖
感	感	kang3	
減	减	kang3	
澗	涧	kang3	
趕	赶	kang3	
擀	擀	kang3	〜面
杆	杆	kang3	
稈	秆	kang3	稻〜
港	港	kang3	〜口
講	讲	kang3	
艦	舰	kang5	
諫	谏	kang5	
槓	杠	kang5	
監	监	kang5	國子～；～察；～視；～牢
鑑	鉴	kang5	通～
間	间	kang5	～斷；～或
幹	干	kang5	〜部
鋼	钢	kang5	刀鈍了，～～
虹	虹	kang5	天上的〜
堪	堪	khang1	
嵌	嵌	khang1	
坎	坎	khang1	
龕	龛	khang1	
刊	刊	khang1	
康	康	khang1	
糠	糠	khang1	
勘	勘	khang1	〜誤；〜探
骯	肮	khang1	〜髒
砍	砍	khang3	
慷	慷	khang3	～慨
炕	炕	khang5	
抗	抗	khang5	
看	看	khang5	～見；～守
庵	庵	ngang1	
安	安	ngang1	
鞍	鞍	ngang1	
巖	岩	ngang2	
昂	昂	ngang2	
顏	颜	ngang2	～色
眼	眼	ngang3	
暗	暗	ngang5	
按	按	ngang6	
案	案	ngang6	
岸	岸	ngang6	
雁	雁	ngang6	
晏	晏	ngang6	晚
酣	酣	hang1	
鼾	鼾	hang1	打〜
夯	夯	hang1	打～
喊	喊	hang3	
撼	撼	hang3	
憾	憾	hang3	
罕	罕	hang3	
憨	憨	hang3	癡
漢	汉	hang5	
函	函	ghang2	
含	含	ghang2	
銜	衔	ghang2	
閒	闲	ghang2	
韓	韩	ghang2	
寒	寒	ghang2	
杭	杭	ghang2	
航	航	ghang2	
鹹	咸	ghang2	～淡
咸	咸	ghang2	～陽
行	行	ghang2	～列；銀～
餡	馅	ghang6	
陷	陷	ghang6	
限	限	ghang6	
旱	旱	ghang6	
莧	苋	ghang6	～菜
翰	翰	ghang6	
巷	巷	ghang6	
項	项	ghang6	
焊	焊	ghang6	〜接
崩	崩	pen1	
奔	奔	pen1	
錛	锛	pen1	
本	本	pen3	
笨	笨	pen5	
迸	迸	pen5	〜裂
烹	烹	phen1	
噴	喷	phen5	〜香，〜嚏
盆	盆	ben1	
焚	焚	ben1	
聞	闻	ben1	
文	文	ben1	
紋	纹	ben1	
墳	坟	ben1	
蚊	蚊	ben1	
問	问	ben6	
份	份	ben6	一〜兩〜
璺	璺	ben6	裂〜
門	门	men2	
悶	闷	men6	
噴	喷	fen1	〜水
登	登	ten1	
燈	灯	ten1	
蹲	蹲	ten1	
敦	敦	ten1	〜厚
等	等	ten3	
墩	墩	ten3	
頓	顿	ten5	
飩	饨	ten5	
凳	凳	ten5	
瞪	瞪	ten5	〜眼
鐙	镫	ten5	鞍〜
吞	吞	then1	
臀	臀	den1	
屯	屯	den1	
豚	豚	den1	
飩	饨	den1	餛〜
騰	腾	den1	
藤	藤	den1	
譽	誉	den1	
疼	疼	den1	
鄧	邓	den6	
盾	盾	den6	矛〜
遁	遁	den6	
囤	囤	den6	
沌	沌	den6	
鈍	钝	den6	
能	能	nen2	
倫	伦	nen2	
輪	轮	nen2	
淪	沦	nen2	
侖	仑	nen2	昆～
崙	仑	nen2	崑～
論	论	nen6	〜語；議～
嫩	嫩	nen6	
楞	楞	len2	
冷	冷	len3	
臻	臻	tsen1	
撙	撙	tsen1	
尊	尊	tsen1	
遵	遵	tsen1	
爭	争	tsen1	
睜	睁	tsen1	
箏	筝	tsen1	
曾	曾	tsen1	姓
增	增	tsen1	
蹭	蹭	tsen1	磨～
俊	俊	tsen5	
浚	浚	tsen5	～河
春	春	tshen1	
村	村	tshen1	
撐	撑	tshen1	
皴	皴	tshen1	〜臉
忖	忖	tshen3	
寸	寸	tshen5	
襯	衬	tshen5	
牚	牚	tshen5	椅子〜兒
生	生	sen1	
牲	牲	sen1	
笙	笙	sen1	
甥	甥	sen1	
孫	孙	sen1	
僧	僧	sen1	
森	森	sen1	
參	参	sen1	人〜
蔘	参	sen1	人〜
損	损	sen3	
省	省	sen3	～長；反〜；節～
遜	逊	sen5	
殉	殉	sen5	
舜	舜	sen5	
滲	渗	sen5	～水；～透
榛	榛	zen1	
存	存	zen1	
循	循	zen1	
荀	荀	zen1	
筍	笋	zen3	
榫	榫	zen3	〜頭
憎	憎	zen6	
贈	赠	zen6	
根	根	ken1	
跟	跟	ken1	
羹	羹	ken1	
庚	庚	ken1	
耕	耕	ken1	
粳	粳	ken1	〜米
耿	耿	ken1	
梗	梗	ken1	
埂	埂	ken1	田〜
哽	哽	ken1	骨～在喉
更	更	ken5	〜加，〜換；五〜
坑	坑	khen1	
肯	肯	khen3	
懇	恳	khen3	
墾	垦	khen3	
啃	啃	khen3	老鼠〜
恩	恩	ngen1	
硬	硬	ngen6	
亨	亨	hen1	
